No.,Perusahaan yang Disertifikasi,Jenis Produk Alsintan,Merek,Tipe/Model
1,PT. Ebara Indonesia,Pompa Air Sentrifugal untuk Irigasi,Ebara,50 SQPB
2,PT. Ebara Indonesia,Pompa Air Sentrifugal untuk Irigasi,Ebara,80 SQPB
3,PT. Ebara Indonesia,Pompa Air Sentrifugal untuk Irigasi,Ebara,100 SQPB
4,PT. Ebara Indonesia,Pompa Air Sentrifugal untuk Irigasi,Ebara,150 SQPB
5,PT. Ebara Indonesia,Pompa Air Sentrifugal untuk Irigasi,Ebara,200 SZ
6,CV. Karya Hidup Sentosa,"Traktor Pertanian Roda
Dua",Quick,G 1000 Kubota RD-85DI1S
7,CV. Karya Hidup Sentosa,"Traktor Pertanian Roda
Dua",Quick,G 1000 Kubota RD 110DI-2T
8,CV. Karya Hidup Sentosa,"Traktor Pertanian Roda
Dua",Quick,"G 3000 Zeva Kubota RD85DI-
1S"
9,CV. Karya Hidup Sentosa,"Traktor Pertanian Roda
Dua",Quick,"G 3000 Zeva Kubota
RD110DI-2T"
10,PT. Yamindo,Traktor Pertanian Roda Dua,Yanmar,"YST PRO XL, Yanmar TF 85NL -di"
11,PT. Yamindo,Traktor Pertanian Roda Dua,Yanmar,"YST - DX, Yanmar TF 85NL -
di"
12,PT. Yamindo,Traktor Pertanian Roda Dua,Yanmar,"YZC - L, Yanmar TF 105NL -
di"
13,PT. Sharprindo Dinamika prima,Pompa Air Sentrifugal untuk Irigasi,Shark,"SPWP 80-30 / Model 3''
Premium"
14,PT. Star Metal Ware Industry,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",Yoto,YT-16
15,PT. Star Metal Ware Industry,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",EYE BRAND,EB 17 L STANDARD
16,PT. Star Metal Ware Industry,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",EYE BRAND,HS-EB 14L
17,PT. Star Metal Ware Industry,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",Dragon Star,DS 17 L STANDARD
18,PT. Star Metal Ware Industry,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",Dragon Star,DS 14 L DELUXE
19,PT. Mitra Balai Industri,Pompa Air Sentrifugal untuk Irigasi,MBI,MBI – P 50
20,PT. Mitra Balai Industri,Pompa Air Sentrifugal untuk Irigasi,MBI,MBI – P 80
21,PT. Mitra Balai Industri,Pompa Air Sentrifugal untuk Irigasi,MBI,MBI – P 100
22,PT. Mitra Balai Industri,Pompa Air Sentrifugal untuk Irigasi,MBI,MBI – P 150
23,PT. Agrindo Maju Lestari,Sprayer Gendong Semi Otomatis,TAC Tasco,425
24,PT. Agrindo Maju Lestari,Sprayer Gendong Bermotor,Tasco,TF 820
25,PT. Mitra Balai Industri,Mesin Perontok Padi tipe Pelemparan Jerami,MBI,IP 400-PT 1000B SNI
26,PT. Star Metal Ware Industry,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",Dragon Star,DS 14L Standard
27,PT. Star Metal Ware Industry,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",Polar,MP-16
28,PT. Honda Power Products Production,Pompa Air Sentrifugal untuk Irigasi,Honda,WL20XN NF
29,PT. Honda Power Products Production,Pompa Air Sentrifugal untuk Irigasi,Honda,WB20XN NF
30,PT. Agrindo Maju Lestari,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",Bengawan Solo,425
31,PT. Agrindo Maju Lestari,"Alat Pemeliharaan Tanaman, Sprayer Gendong Semi Otomatis",Tasco,TB 16
32,PT. Pabrik Mesin Guntur,"Pompa Air Sentrifugal
untuk Irigasi",Niagara,GTO 3-1
33,PT. Pabrik Mesin Guntur,"Pompa Air Sentrifugal
untuk Irigasi",Niagara,GTR-3
34,PT. Pabrik Mesin Guntur,"Pompa Air Sentrifugal
untuk Irigasi",Niagara,GTR-4
35,PT. Pabrik Mesin Guntur,"Pompa Air Sentrifugal
untuk Irigasi",Niagara,GTR-6L
36,PT. Pabrik Mesin Guntur,"Pompa Air Sentrifugal
untuk Irigasi",Niagara,GTO-6-1L
37,PT. Pabrik Mesin Guntur,"Pompa Air Sentrifugal
untuk Irigasi",Niagara,GTO 4-1
38,CV. Mandiri Garlica Pratama,Mesin Perontok Padi Multikomoditi,Ishoku,MT 1000 GP
39,PT. Sharprindo Dinamika Prima,Pompa Air Sentrifugal untuk Irigasi,Shark,SPWP 50-30 / 2'' Premium
40,PT. Honda Power Products Production,Pompa Air Sentrifugal untuk Irigasi,Honda,WB30XN NF
41,PT. Honda Power Products Production,Pompa Air Sentrifugal untuk Irigasi,Honda,WL30XN NF
42,PT. Pabrik Mesin Guntur,"Pompa Air Sentrifugal
untuk Irigasi",Niagara,GMF 8-1
43,PT. Pabrik Mesin Guntur,"Pompa Air Sentrifugal
untuk Irigasi",Niagara,GTR – 8L
44,PT. Maspion,Sprayer Gendong Elektrik,Maspion,model HASE 18
45,PT. Maspion,Sprayer Gendong Elektrik,Maspion,model MHE 18
46,PT. Star Metal Ware Industry,Sprayer Gendong Elektrik,ABC,ABC-G 16 BTR
47,PT. Star Metal Ware Industry,Sprayer Gendong Elektrik,Yoto,YT-14BTR/SS
48,PT. Agrindo Maju Lestari,Sprayer Gendong Elektrik,Tac Tasco,Tac Tasco - ES 17
49,PT. Agrindo Maju Lestari,Sprayer Gendong Semi Otomatis,Solo,Solo Indonesia 425
50,PT. Sharprindo Dinamika Prima,Pompa Air Sentrifugal untuk Irigasi,Shark,"SWP 80-30/3"""
