,brand,jenis
0,Imiprothrin 50 TC ,Insektisida
1,TORDON 101 115/450 SL,Herbisida
2,TURBO UP GOLD 525 SL,Herbisida
3,IGUANA 50 EC ,Insektisida
4,Nicozin 550 SC,Herbisida
5,ETEPHON 85 TC,Zat Pengatur Tumbuh Tanaman
6,SKAUS 240 SC,Fungisida
7,INDONIL 75 WP,Fungisida
8,METRA UP 480 SL,Herbisida
9,T-FORDI 865 SL,Herbisida
10,CENTATIN 200 EC,Insektisida
11,CHERIZEB 80 WP,Fungisida
12,CENTADINE 450 SL,Insektisida
13,RADIGEN 50 SC,Insektisida
14,CENTAMEC 36 EC,Insektisida
15,AMD-6 735 SL,Herbisida
16,HIT 1.05 Gel Stick,Pestisida Rumah Tangga
17,NOVICURE-D 81 WG,Fungisida
18,Propiconazole 95% TC.,Fungisida
19,SATGAZ 75 WP,Fungisida
20,TRIBINZO 25/50 WG,Fungisida
21,METAFURON 20 WP,Herbisida
22,DIABLO 36 EC,Insektisida
23,EVERXONE 135 SL,Herbisida
24,PENTAGREAT 150 SL*,Herbisida
25,VERTIPLUS WP,Insektisida
26,RAJA KEONG MAS 9 GR,Moluskisida
27,DAMISAT 620 SL,Herbisida
28,CENTACIS 25 EC,Insektisida
29,SANDOVIN 85 WP,Insektisida
30,NIKOSULFURON 95 TC,Herbisida
31,AGROFOS 480 EC,Insektisida
32,Profos 100 EC,Bahan pengawet kayu
33,APIKOL 70 WP,Fungisida
34,REDBELL 300 SC,Fungisida
35,ANTIKEONG 65 WP,Moluskisida
36,JOTOS 490 EC,Herbisida
37,DIFENOCONAZOLE 95 TC,Fungisida
38,TONIKUR 250 EC,Fungisida
39,STARMIN 865 SL,Herbisida
40,ALAMO 350 SC,Insektisida
41,FONDUA 375 SC,Fungisida
42,LARBAN 500/50 EC,Insektisida
43,DIVATRIN 500 SC,Herbisida
44,KIMIDA 10 WP,Insektisida
45,ARJUNA 200 EC,Insektisida
46,KENSBAN 400 EC,Insektisida
47,CONDUCTOR 480 EC,Herbisida
48,ABEL 200 SL,Herbisida
49,PROTHENE 75 SP,Insektisida
50,"WHIMAS 0,05 RB",Pestisida Rumah Tangga
51,PITBULL 160 SL,Herbisida
52,Tinker 200/200 SC,Fungisida
53,BLUEZEB 80 WP,Fungisida
54,SALVATORE PLUS 12/18 WP,Herbisida
55,TORBINOL 480 SC,Fungisida
56,OMNI-TRON 150 SL,Herbisida
57,NAPIRTOP 300/5 EC,Insektisida
58,BIGEST 40 EC,Zat Pengatur Tumbuh Tanaman
59,SURYATAN PLUS 550 SL,Insektisida
60,TYSON 30 WG,Insektisida
61,KORALONE™ HP 150 Biocide,Pestisida lain-lain
62,HIT MAGIC 0.085 FU,Pestisida Rumah Tangga
63,NOXONE 276 SL,Herbisida
64,Innosei ® PHMB,Bakterisida
65,TUNTAS KEONG 15 WP,Moluskisida
66,UNIZOLE 375 SC,Fungisida
67,PREVENTOL WB PLUS-L,Fungisida
68,FURIZEB 80 WP,Fungisida
69,DKLUFEM 50 WG,Insektisida
70,DHARMABAS 500 EC,Insektisida
71,BETAMON 26 SL,Zat Pengatur Tumbuh Tanaman
72,HALORICE PLUS 60/25 EC,Herbisida
73,FREECOR 50 SC,Insektisida
74,INNOMAN ® BT 20,Bakterisida
75,Kocide Opti 46 WG,Fungisida
76,RIDATOP 288 SL,Herbisida
77,Wenda 20 WP,Fungisida
78,JAYACIDE 400 EC,Insektisida
79,RAGE 90 SP,Insektisida
80,FILLADO 440 EC,Insektisida
81,SILAMDA 25 EC,Pestisida Pengendalian Vektor Penyakit Pada Manusia
82,Optigard Ant 0.01 RB ,Pestisida Rumah Tangga
83,DELLACID 525 EC,Insektisida
84,SOLID 12/200 EC,Insektisida
85,Proxel 106 Preservative,Pestisida lain-lain
86,ROCIMA™ 363 Biocide,Pestisida lain-lain
87,ROCIMA™ 350 Biocide,Pestisida lain-lain
88,KARROLIE 100 EC,Insektisida
89,EXTRACEL 50 EC,Insektisida
90,PARAKUAT DIKLORIDA 42 TC,Herbisida
91,CHERIZEB 80 WP,Fungisida
92,WELCHEM 500 SL,Insektisida
93,CIMEGRA 100 SC,Insektisida
94,TIEZENE 80 WP,Fungisida
95,CARRICK 63/5 WP,Herbisida
96,"BENMATI 0,005 BB ",Rodentisida
97,WINFOS 525 SL,Herbisida
98,Heksagon 50 EC,Insektisida
99,SODAP 480 SL,Herbisida
100,SUMIMAX 50 WP,Herbisida
101,DOMARK 100 EC,Fungisida
102,TOLERAN 75 WG,Herbisida
103,VIRTAKO 40 WG,Insektisida
104,BIMARON 80 WP,Herbisida
105,GIZMO 75 WP,Fungisida
106,SOFFELL SNOW 15 LT,Repelen
107,Dessin 50 EC,Insektisida
108,"Baygon 0,161 AE",Pestisida Rumah Tangga
