,brand,jenis,bentuk_formula
0,LAPAN HARSA ,NPK padat,Butiran (Granular)
1,P HOSKA+,Dolomit,Butiran (Granular)
2,EvaGROW,Hayati Majemuk,Tepung (Powder)
3,PUPINDO,NPK padat,Butiran (Granular)
4,Tunas Makmur Organik,Pupuk Organik,Butiran (Granular)
5,BULIR,NPK padat,Tepung (Powder)
6,SAWONGGALING,Dolomit,Butiran (Granular)
7,Mahkota Fertilizer,NPK padat,Butiran (Granular)
8,SUPER RHOSKA,Dolomit,Butiran (Granular)
9,AGRIVERE,Hara Micro Tunggal,Butiran (Granular)
10,GREEN SUBUR,NPK padat,Butiran (Granular)
11,FELO,NPK padat,Tepung (Powder)
12,Mahkota Fertilizer,Lainnya,Butiran (Granular)
13,MONODON PLUS,Hayati Majemuk,Cair (Liquid)
14,Micronexus,Lainnya,Cair (Liquid)
15,MENTARI,Lainnya,Tepung (Powder)
16,URGENT-A ,Pupuk Organik,Cair (Liquid)
17,GARDENA D,NPK padat,Tepung (Powder)
18,FENG SHOU,Pupuk Organik,Tepung (Powder)
19,JP86,Lainnya,Butiran (Granular)
20,MandaliCa,Hara Makro Majemuk,Tepung (Powder)
21,GANDATAN-B,NPK padat,Tepung (Powder)
22,BIOSTCARE,Hayati Majemuk,Tepung (Powder)
23,NEO TRUB-SO,Hara Makro Majemuk,Cair (Liquid)
24,siti lohjinawe,Hayati Majemuk,Cair (Liquid)
25,BIORA,Pupuk Organik,Cair (Liquid)
26,GREENTOP,Dolomit,Butiran (Granular)
27,ROMAN,Lainnya,Cair (Liquid)
28,SABA,Dolomit,Tepung (Powder)
29,FERTA,NPK padat,Butiran (Granular)
30,KRESNA,Hayati Majemuk,Tepung (Powder)
31,BIONANO,Hayati Majemuk,Butiran (Granular)
32,TANIKAYA,NPK padat,Butiran (Granular)
33,SUPRECALS 900,Lainnya,Tepung (Powder)
34,NutriTop,Mono Ammonium Phosphate,Lain-lainnya
35,CAP DAUN,Fosfat Alam untuk pertanian,Tepung (Powder)
36,TANIVIT B,NPK padat,Tepung (Powder)
37,KELAT S-1828,Hara Makro Majemuk,Cair (Liquid)
38,KITANG FERTILIZER,NPK padat,Butiran (Granular)
39,PRONIK,Pupuk Organik,Tepung (Powder)
40,POTENSIDA,Hayati Majemuk,Tepung (Powder)
41,AGRESIF,Lainnya,Butiran (Granular)
42,OSP-36,Fosfat Alam untuk pertanian,Butiran (Granular)
43,BELKO,Hara Makro Majemuk,Cair (Liquid)
44,MariVit,Lainnya,Cair (Liquid)
45,Petrokimia Gresik,Hayati Majemuk,Cair (Liquid)
46,ZSP-36,Zeolit,Butiran (Granular)
47,JERANTI,NPK padat,Tablet
48,CIPMAPE CIPMATOP,Hara Makro Majemuk,Butiran (Granular)
49,BASFOLIAR,NPK padat,Tepung (Powder)
50,SIDANIK,Pupuk Organik,Butiran (Granular)
51,MerokeCALNIT,Calsium Nitrat,Butiran (Granular)
52,ROOTONE F,Pupuk Organik,Cair (Liquid)
53,KANCIL EMAS,NPK padat,Butiran (Granular)
54,SOLUTUS,NPK padat,Tepung (Powder)
55,BINTANG TANI,NPK padat,Butiran (Granular)
56,GDM,Hayati Majemuk,Butiran (Granular)
57,TSAMAR 32,Lainnya,Cair (Liquid)
58,PELANGI JOS,NPK padat,Butiran (Granular)
59,AGRITAMA,NPK padat,Butiran (Granular)
60,VIORY GIERMAN,NPK padat,Butiran (Granular)
61,PULLET,NPK padat,Butiran (Granular)
62,BASFOLIAR,NPK padat,Tepung (Powder)
63,SEMOK,Senyawa Humat,Cair (Liquid)
64,ZINATRA,Hara Micro Tunggal,Cair (Liquid)
65,MerokeKALINITRA,Lainnya,Lain-lainnya
66,SPEEDGRO ,NPK padat,Tepung (Powder)
67,K-TOK,Lainnya,Cair (Liquid)
68,HUMATOP,Organik,Tepung (Powder)
69,EP-M5,Hayati Majemuk,Cair (Liquid)
70,KLOTRAN'S MAHKOTA,Lainnya,Lain-lainnya
71,nutrizim,Pupuk Organik,Cair (Liquid)
72,BIOTOP,Hayati Majemuk,Cair (Liquid)
73,Mahkota Fertilizer,Lainnya,Butiran (Granular)
74,gfert,Fosfat Alam untuk pertanian,Tepung (Powder)
75,GREENSUPE,Lainnya,Tepung (Powder)
76,CUAN,Lainnya,Cair (Liquid)
77,Agroblen,NPK padat,Butiran (Granular)
78,NutriTop,Calsium Nitrat,Butiran (Granular)
79,CAP DAUN,Lainnya,Tepung (Powder)
80,AzosPlant,Hayati Majemuk,Cair (Liquid)
81,BIOFARM,Hayati Majemuk,Cair (Liquid)
82,HUMICARE,Pupuk Organik,Butiran (Granular)
83,FORTAN D,Lainnya,Lain-lainnya
84,LOONGZOU,Kalium Klorida (KCl),Tepung (Powder)
85,FT,Hara Makro Majemuk,Butiran (Granular)
86,GSP 36 TANDUK MAS,Dolomit,Butiran (Granular)
87,PHONSKA,NPK padat,Butiran (Granular)
88,PazLansae-600,Lainnya,Cair (Liquid)
89,TESTING BUGS GENERATE SK 17 NOV,Hara Micro Tunggal,Prill
90,SUBUR IJO,Pupuk Organik,Butiran (Granular)
91,Harmoni,Pupuk Organik,Butiran (Granular)
92,NovaZinc,Hara Micro Tunggal,Tepung (Powder)
93,MUSTIKA TANI,Pupuk Organik,Lain-lainnya
94,CAP KUDA SAKTI,Amonium Sulfat (ZA),Butiran (Granular)
95,MENTARI,Lainnya,Tepung (Powder)
96,SENGGOLMODHOT,Lainnya,Tepung (Powder)
97,aGricare Premium,Pupuk Organik,Butiran (Granular)
98,SULLFOXS,Pupuk Organik,Cair (Liquid)
99,LOONGZOU,Triple Super Fosfat (TSP),Butiran (Granular)
100,SanBlend,NPK padat,Butiran (Granular)
101,FERTILA,Hara Makro Majemuk,Lain-lainnya
102,GROW UP,Lainnya,Cair (Liquid)
103,NEW WALET,Hara Makro Majemuk,Cair (Liquid)
104,SPEEDGRO,NPK padat,Butiran (Granular)
105,CIPMAPE,NPK padat,Butiran (Granular)
106,FERTOMAX,Hayati Majemuk,Cair (Liquid)
107,DITYAGROW,Lainnya,Tepung (Powder)
108,PRIMATAN,Fosfat Alam untuk pertanian,Butiran (Granular)
109,Lemeksari,Pupuk Organik,Lain-lainnya
110,BAPAK IBU TANI,NPK padat,Tablet
111,BIO-TURBO,Lainnya,Tepung (Powder)
112,biovina,Pupuk Organik,Cair (Liquid)
113,GOLDENGROW,NPK padat,Butiran (Granular)
114,T.C.P - 36,Lain - lainnya.,Butiran (Granular)
115,Mahkota ,NPK padat,Butiran (Granular)
116,Milagrow,Lainnya,Tepung (Powder)
117,JENGGONG,Dolomit,Butiran (Granular)
118,Vitanik CONCENTRATE,Lainnya,Tepung (Powder)
119,CATALIS PLUS,Pupuk Organik,Cair (Liquid)
120,GLB,Hayati Majemuk,Cair (Liquid)
121,CAP DUA LILIN,Pupuk Organik,Tepung (Powder)
122,NUTRISOIL,Pupuk Organik,Butiran (Granular)
123,Hikay Bio,NPK padat,Butiran (Granular)
124,BELLARUSIA,Fosfat Alam untuk pertanian,Butiran (Granular)
125,KURIZA,Hayati Tunggal,Butiran (Granular)
126,Mahkota,NPK padat,Butiran (Granular)
127,Palm Care,NPK padat,Lain-lainnya
128,GRO,NPK padat,Tepung (Powder)
129,CAP BOLA DUNIA,Pupuk Organik,Butiran (Granular)
130,CAP TAWON,Potassium Magnesium Sulfate,Butiran (Granular)
131,HUMATPRO,Pupuk Organik,Tepung (Powder)
132,BUAH MAS ,Hara Makro Majemuk,Tepung (Powder)
133,SAPI PETANI 36,Fosfat Alam untuk pertanian,Butiran (Granular)
134,BURKANA,Hayati Majemuk,Cair (Liquid)
135,PHONSKA PLUS,NPK padat,Butiran (Granular)
136,SuSi,Lainnya,Tepung (Powder)
137,NutriTop,NPK padat,Tepung (Powder)
138,INDOFLOR,Hara Makro Majemuk,Cair (Liquid)
139,GRAND-K MERAH,Hara Makro Majemuk,Tepung (Powder)
140,EXCLUSIVE,NPK padat,Lain-lainnya
141,CAP TAWON,NPK padat,Butiran (Granular)
142,RENCONG MAS,Pupuk Organik,Butiran (Granular)
143,PETRO KALIMAS,Hara Makro Majemuk,Butiran (Granular)
144,BINTANG MUTIARA 16-16-16,Dolomit,Butiran (Granular)
145,CMP-36,Fosfat Alam untuk pertanian,Butiran (Granular)
146,GUANO NUTRI PLUS,Pupuk Organik,Butiran (Granular)
147,PATEN IMUN,Pupuk Organik,Cair (Liquid)
148,PEDANG MAS,Pupuk Organik,Butiran (Granular)
149,DABAN,NPK padat,Butiran (Granular)
150,STI,Pupuk Organik,Cair (Liquid)
151,AKASIA,Amonium Sulfat (ZA),Butiran (Granular)
152,BUAMAX,NPK padat,Butiran (Granular)
153,PATEN,Pupuk Organik,Tepung (Powder)
154,GUNUNG SUBUR,Fosfat Alam untuk pertanian,Butiran (Granular)
155,Komsah,Pupuk Organik,Lain-lainnya
156,AGROFOS 36 RODA CAHAYA,Fosfat Alam untuk pertanian,Butiran (Granular)
157,Akima Organic Plus,Pupuk Organik,Cair (Liquid)
158,Mentari,NPK padat,Butiran (Granular)
159,BEENSAE,Lainnya,Butiran (Granular)
160,HANTU Hormon Tanaman Unggul,Lainnya,Cair (Liquid)
161,BAROZEB,Lainnya,Tepung (Powder)
162,GAN-EX,Hayati Majemuk,Cair (Liquid)
163,KS PAK TANI,Lainnya,Butiran (Granular)
164,MICROFERTI ENERGY,Hara Makro Majemuk,Cair (Liquid)
165,HX-MKP,Mono Potassium Phosphate,Butiran (Granular)
166,MerokeMOP,Kalium Klorida (KCl),Tepung (Powder)
167,MIKROZIBOR,Lainnya,Butiran (Granular)
168,LEMSAE,Lainnya,Cair (Liquid)
169,PEAT-Kay Bio,NPK padat,Butiran (Granular)
170,Bi Lancer,Lainnya,Cair (Liquid)
171,SIAPTON,Pupuk Organik,Cair (Liquid)
172,SIRIWANGI,Hara Makro Majemuk,Lain-lainnya
173,PETRO KALSIPALM,Lainnya,Tepung (Powder)
174,KERETA MAS,Dolomit,Tepung (Powder)
175,KAYAIN TubbaN,Pupuk Organik,Cair (Liquid)
